OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
7021,2003,CA,USF,TNF,CORRECO,0,2003/07/27 00:00:00+00,2003/07/27 00:00:00+00,1,1,1,51.63148,Containment 'fire_day' estimated,,,38,,2000,353627.043,2997.653918
7022,2003,CA,USF,ANF,ROWHER,0,2003/08/17 00:00:00+00,2003/08/17 00:00:00+00,2,8,1,68.42754,,,,116,,2000,409069.3945,3524.322201
7023,2003,CA,NPS,KNP,PARADISE 2,0,2003/09/27 00:00:00+00,2003/12/15 00:00:00+00,1,7,1,1297.062,,,,101,,2000,8136340.645,14931.16902
7024,2003,CA,NPS,KNP,EAST FORK,0,2003/09/03 00:00:00+00,2003/11/12 00:00:00+00,1,7,2,24.76123,,,,84,,2000,155301.8516,2125.46899
7025,2003,CA,NPS,KNP,COFFEEPOT,0,2003/07/24 00:00:00+00,2003/07/27 00:00:00+00,1,1,1,14.98248,,,,34,,2000,93809.15625,1613.138021
7026,2003,CA,NPS,KNP,COFFEEPOT2,0,2003/09/03 00:00:00+00,2003/09/20 00:00:00+00,1,1,1,79.95559,,,,78,,2000,500431.2344,3886.788293
7027,2003,CA,NPS,KNP,WEST KERN,0,2003/08/21 00:00:00+00,2003/12/15 00:00:00+00,1,2,2,7971.402,,,,68,,2000,49810465.38,52924.26346
7028,2003,CA,NPS,KNP,HMRS NOS2,0,2003/09/05 00:00:00+00,2003/11/17 00:00:00+00,1,6,1,205.2301,,,,90,,2000,1283602.617,6668.396299
7029,2003,CA,NPS,KNP,DENNISON,0,2003/07/31 00:00:00+00,2003/09/23 00:00:00+00,1,2,1,4.51493,,,,52,,2000,28201.97266,1116.164481
7030,2003,CA,NPS,YNP,KIBBIE,0,2003/07/20 00:00:00+00,2003/11/07 00:00:00+00,1,7,1,35.96737,,,,2085,,2000,235135.6289,3288.123338
7031,2003,CA,DOD,AFV,GLOBE,0,2003/07/15 00:00:00+00,2003/07/15 00:00:00+00,11,1,1,10.28274,,,,0,,2000,61951.36328,1605.852682
7032,2003,CA,DOD,AFV,LF-02,0,2003/07/18 00:00:00+00,2003/07/18 00:00:00+00,14,1,1,18.19914,,,,0,,2000,109598.7813,1543.439073
7033,2003,CA,USF,SQF,LITTLE,0,2003/07/30 00:00:00+00,2003/07/30 00:00:00+00,1,6,1,49.61662,,,,68,,2000,304234.2891,2771.426234
7034,2003,CA,USF,SQF,WALSER,0,2003/10/20 00:00:00+00,2003/10/20 00:00:00+00,2,6,1,14.81134,,,,136,,2000,90453.64063,1220.135083
7035,2003,CA,USF,SRF,FRIDAY,0,2003/06/29 00:00:00+00,2003/07/03 00:00:00+00,2,8,1,388.8525,,,,19,,2000,2756256.242,10424.78199
7036,2003,CA,USF,SRF,SUGAR,0,2003/09/24 00:00:00+00,2003/09/26 00:00:00+00,7,8,1,17.13098,,,,66,,2000,121867.3867,1549.063435
7037,2003,CA,USF,SRF,CAMP2,0,2003/06/28 00:00:00+00,2003/06/28 00:00:00+00,7,6,1,84.71707,,,,17,,2000,607841.4414,3276.193707
7038,2003,CA,USF,MDF,SAND,0,2003/11/28 00:00:00+00,2003/11/29 00:00:00+00,5,8,1,333.0275,,,,149,,2000,2416780.582,17374.89304
7039,2003,CA,USF,MDF,YELLOW,0,2003/09/05 00:00:00+00,2003/09/07 00:00:00+00,1,8,1,554.8458,,,,115,,2000,4038443.922,11838.44279
7040,2003,CA,USF,MNF,BOARDMAN,0,2003/09/03 00:00:00+00,2003/09/08 00:00:00+00,1,2,1,511.3503,,GRINDSTONE COMPLEX,,26,934,2000,3479693.227,10813.48215
7041,2003,CA,DOD,AFV,UMBRA,0,2002/02/21 00:00:00+00,2002/02/21 00:00:00+00,11,1,1,2.77828,,,,0,,2000,16709.19922,682.0401583
7042,2003,CA,CDF,AEU,TONZI,13672,2003/08/18 00:00:00+00,2003/08/18 00:00:00+00,10,1,1,99.11134,,,,441,,2000,654121.1328,3506.678987
7043,2003,CA,CDF,AEU,MARSHAL,14843,2003/09/04 00:00:00+00,2003/09/04 00:00:00+00,10,1,1,126.8676,,,,510,,2000,847343.6758,4945.95906
7044,2003,CA,CDF,AEU,CUTTER,12187,2003/07/25 00:00:00+00,2003/07/25 00:00:00+00,10,1,1,102.0732,,,,365,,2000,682445.3906,4066.746529
7045,2003,CA,CDF,AEU,SALT,11407,2003/07/18 00:00:00+00,2003/07/18 00:00:00+00,4,7,1,216.4392,,,,306,,2000,1431263.77,5207.815435
7046,2003,CA,CDF,BEU,OLD STAGE,2537,2003/07/15 00:00:00+00,2003/07/15 00:00:00+00,8,1,1,36.86267,,,,246,,2000,232727.2344,2299.484991
7047,2003,CA,CDF,BEU,NEW IDRIA,1514,2003/05/18 00:00:00+00,2003/05/19 00:00:00+00,9,2,1,632.0136,,,,133,,2000,3969398.949,11551.19587
7048,2003,CA,CDF,BTU,OREGON,10601,2003/09/10 00:00:00+00,2003/09/11 00:00:00+00,6,2,1,163.4828,,,,461,,2000,1114232.238,4687.843887
7049,2003,CA,CDF,BTU,PALERMO,10757,2003/09/13 00:00:00+00,2003/09/14 00:00:00+00,9,2,1,298.7748,,,,472,,2000,2023889.301,6696.270243
7050,2003,CA,USF,MNF,GRAVELLY,0,2003/09/03 00:00:00+00,2003/09/04 00:00:00+00,1,8,1,0.1165791,,GRINDSTONE COMPLEX,,17,934,2000,792.3398438,99.79775122
7051,2003,CA,CDF,BEU,INDIAN SPRINGS,3465,2003/09/09 00:00:00+00,2003/09/09 00:00:00+00,2,7,1,67.17598,,,,349,,2000,422486.3555,3757.755112
7052,2003,CA,CDF,BEU,ALVARADO,1836,2003/06/11 00:00:00+00,2003/06/11 00:00:00+00,11,1,1,57.22686,,,,165,,2000,354117.8867,3590.524455
7053,2003,CA,CDF,BEU,EUCALYPTUS,2577,2003/07/17 00:00:00+00,2003/07/18 00:00:00+00,9,2,1,819.6969,,,,248,,2000,5158701.934,13648.92041
7054,2003,CA,CDF,TUU,BENNETT,5247,2003/05/29 00:00:00+00,2003/05/29 00:00:00+00,14,8,1,30.55611,,,,45,,2000,189434.8086,1978.306858
7055,2003,CA,CDF,TUU,BOYD,6303,2003/06/21 00:00:00+00,,14,,1,120.3256,,,,86,,2000,756264.8867,4814.564214
7056,2003,CA,CDF,TUU,VALLEY,6909,2003/07/03 00:00:00+00,,14,,1,129.8891,,,,111,,2000,805171.7383,4594.051776
7057,2003,CA,CDF,TUU,SINGLETON,7025,2003/07/05 00:00:00+00,2003/07/05 00:00:00+00,14,8,1,42.78112,,,,116,,2000,265202.3555,2514.115984
7058,2003,CA,CDF,TUU,REZZ,7296,2003/07/09 00:00:00+00,2003/07/09 00:00:00+00,14,8,1,12.35312,,,,142,,2000,76572.31641,1336.684092
7059,2003,CA,CDF,TUU,CASTLE,7429,2003/07/12 00:00:00+00,2003/07/12 00:00:00+00,14,8,1,156.1365,,,,149,,2000,977985.3555,5117.336611
7060,2003,CA,USF,MNF,TRIPLETT,0,2003/09/03 00:00:00+00,2003/09/03 00:00:00+00,1,6,1,1.594769,,GRINDSTONE COMPLEX,,67,934,2000,10852.73047,452.1534115
7061,2003,CA,USF,MNF,TRIPLETT 2,0,2003/09/03 00:00:00+00,2003/09/04 00:00:00+00,1,6,1,2.658751,,GRINDSTONE COMPLEX,,74,934,2000,18092.42578,841.0208251
7062,2003,CA,USF,MNF,SMOKEHOUSE,0,2003/09/03 00:00:00+00,2003/09/06 00:00:00+00,1,2,1,21.05291,,GRINDSTONE COMPLEX,,18,934,2000,143231.418,2045.325561
7063,2003,CA,USF,MNF,GARRETT,0,2003/09/03 00:00:00+00,2003/09/04 00:00:00+00,1,2,1,0.1756178,,GRINDSTONE COMPLEX,,20,934,2000,1189.347656,154.6087385
7064,2003,CA,USF,ANF,PADUA,0,2003/10/25 00:00:00+00,2003/11/03 00:00:00+00,7,8,1,10457.86,,,,174,,2000,61982217.57,56039.93573
7065,2003,CA,USF,BDF,GRAND PRIX,0,2003/10/21 00:00:00+00,2003/11/14 00:00:00+00,7,8,1,50617.94,,,,144,,2000,300200267.2,147701.0212
7066,2003,CA,USF,BDF,BRIDGE,0,2003/09/05 00:00:00+00,2003/09/14 00:00:00+00,9,8,1,1157.075,,,,131,,2000,6858345.277,18519.02428
7067,2003,CA,USF,SNF,SNAKE/CARGYLE2,0,2003/09/03 00:00:00+00,2003/11/20 00:00:00+00,1,8,1,825.676,,,,92,,2000,5329052.438,13380.33392
7068,2003,CA,USF,INF,JUNE,0,2003/09/30 00:00:00+00,2003/10/06 00:00:00+00,9,2,1,50.43307,,,,83,,2000,327619.7148,3464.402247
7069,2003,CA,CCO,LAC,VERDALE,220027,2003/10/24 00:00:00+00,2003/10/28 00:00:00+00,16,7,1,8474.283,,,,220027,,2000,50526532.93,50843.34486
7070,2003,CA,CCO,LAC,WILDWOOD,217933,2003/10/21 00:00:00+00,2003/10/21 00:00:00+00,3,7,1,68.41597,,,,217933,,2000,405757.8008,3158.037434
7071,2003,CA,CDF,LMU,LIGHTNING 55,2432,2003/07/30 00:00:00+00,2003/07/31 00:00:00+00,1,1,2,18.37549,,,,170,,2000,130668.7148,2197.548583
7072,2003,CA,CDF,LMU,A-3,1784,2003/07/02 00:00:00+00,2003/07/04 00:00:00+00,2,2,1,1050.844,,,,50,,2000,7327172.586,17986.38238
7073,2003,CA,CDF,LMU,DIANE,3203,2003/09/07 00:00:00+00,2003/09/12 00:00:00+00,7,2,1,220.6193,,,,274,,2000,1539362.141,8502.725949
